ParentID,SampleID,FromMachineID,ToMachineID
SBH421578,SBH421578,1016,1017
SBH421578,SBH421578,1017,1016
SBH421578,SBH421578,1016,1018
SBH421578,SBH421578,1018,995
SBH421578,SBH421578_N,995,1014
SBH421578,SBH421578_N,1014,997
SBH421578,SBH421578_N,997,989
SBH421578,SBH421578_N,989,997
SBH421578,SBH421578_N,997,1028
SBH421578,SBH421578_N,1028,997
SBH421578,SBH421578_N,997,998
SBH421578,SBH421578_N,998,997
SBH421578,SBH421578_N,997,1014
SBH421578,SBH421578_N/C,1014,1000
SBH421578,SBH421578_N/C,1000,999
SBH421578,SBH421578_N/C,999,1034
SBH421578,SBH421578_N/C,1034,999
SBH421578,SBH421578_N0/SAL097180,999,1004
SBH421578,SBH421578_N0/SAL097180,1004,1003
SBH421578,SBH421578_N0/SAL097180,1003,999
SBH421578,SBH421578_N0/SAL097180,999,1035
SBH421578,SBH421578_N0/SAL097180,1035,1030
SBH421578,SBH421578_N0/SAL097180,1030,1035
SBH421578,SBH421578_N0/SAL097180,1035,999
SBH421579,SBH421579,-1,1008
SBH421579,SBH421579,1008,1021
SBH421579,SBH421579,1021,1022
SBH421579,SBH421579,1022,1021
SBH421579,SBH421579,1021,1023
SBH421579,SBH421579,1023,996
SBH421579,SBH421579_N,996,1019
SBH421579,SBH421579_N,1019,997
SBH421579,SBH421579_N,997,989
SBH421579,SBH421579_N,989,997
SBH421579,SBH421579_N,997,1028
SBH421579,SBH421579_N,1028,997
SBH421579,SBH421579_N,997,998
SBH421579,SBH421579_N/C,998,1000
SBH421579,SBH421579_N/C,1000,999
SBH421579,SBH421579_N/C,999,1034
SBH421579,SBH421579_N/C,1034,999
SBH421579,SBH421579_N0/SAL097152,999,1004
SBH421579,SBH421579_N0/SAL097152,1004,1003
SBH421579,SBH421579_N0/SAL097152,1003,999
SBH421579,SBH421579_N0/SAL097152,999,1035
SBH421579,SBH421579_N0/SAL097152,1035,1030
SBH421579,SBH421579_N0/SAL097152,1030,1035
SBH421579,SBH421579_N0/SAL097152,1035,999
SBH421580,SBH421580,-1,1007
SBH421580,SBH421580,1007,1016
SBH421580,SBH421580,1016,1017
SBH421580,SBH421580,1017,1016
SBH421580,SBH421580,1016,1018
SBH421580,SBH421580,1018,995
SBH421580,SBH421580_N,995,1014
SBH421580,SBH421580_N,1014,997
SBH421580,SBH421580_N,997,989
SBH421580,SBH421580_N,989,997
SBH421580,SBH421580_N,997,1028
SBH421580,SBH421580_N,1028,997
SBH421580,SBH421580_N,997,998
SBH421580,SBH421580_N/C,998,1000
SBH421580,SBH421580_N/C,1000,999
SBH421580,SBH421580_N/C,999,1034
SBH421580,SBH421580_N/C,1034,999
SBH421580,SBH421580_N0/SAL097427,999,1004
SBH421581,SBH421581,-1,1008
SBH421581,SBH421581,1008,1021
SBH421581,SBH421581,1021,1022
SBH421581,SBH421581,1022,1021
SBH421581,SBH421581,1021,1023
SBH421581,SBH421581,1023,996
SBH421581,SBH421581_N,996,1019
SBH421581,SBH421581_N,1019,997
SBH421581,SBH421581_N,997,990
SBH421581,SBH421581_N,990,997
SBH421581,SBH421581_N,997,1028
SBH421581,SBH421581_N,1028,997
SBH421581,SBH421581_N,997,998
SBH421581,SBH421581_N,998,997
SBH421581,SBH421581_N,997,1014
SBH421581,SBH421581_N/C,1014,1000
SBH421581,SBH421581_N/C,1000,999
SBH421581,SBH421581_N/C,999,1034
SBH421581,SBH421581_N/C,1034,999
SBH421581,SBH421581_N0/SAL097545,999,1004
SBH421581,SBH421581_N0/SAL097545,1004,999
SBH421582,SBH421582,-1,1007
SBH421582,SBH421582,1007,1016
SBH421582,SBH421582,1016,1017
SBH421582,SBH421582,1017,1016
SBH421582,SBH421582,1016,1018
SBH421582,SBH421582,1018,995
SBH421582,SBH421582_N,995,1014
SBH421582,SBH421582_N,1014,997
SBH421582,SBH421582_N,997,991
SBH421582,SBH421582_N,991,997
SBH421582,SBH421582_N,997,1028
SBH421582,SBH421582_N,1028,997
SBH421582,SBH421582_N,997,998
SBH421582,SBH421582_N,998,997
SBH421582,SBH421582_N,997,1014
SBH421582,SBH421582_N/C,1014,1000
SBH421582,SBH421582_N/C,1000,999
SBH421582,SBH421582_N/C,999,1034
SBH421582,SBH421582_N/C,1034,999
SBH421582,SBH421582_N0/SAL097421,999,1004
SBH421583,SBH421583,-1,1006
SBH421583,SBH421583,1006,1011
SBH421583,SBH421583,1011,1012
SBH421583,SBH421583,1012,1011
SBH421583,SBH421583,1011,1013
SBH421583,SBH421583,1013,994
SBH421583,SBH421583_N,994,1009
SBH421583,SBH421583_N,1009,997
SBH421583,SBH421583_N,997,993
SBH421583,SBH421583_N,993,997
SBH421583,SBH421583_N,997,1028
SBH421583,SBH421583_N,1028,997
SBH421583,SBH421583_N,997,998
SBH421583,SBH421583_N/C,998,1000
SBH421583,SBH421583_N/C,1000,999
SBH421583,SBH421583_N/C,999,1034
SBH421583,SBH421583_N/C,1034,999
SBH421583,SBH421583_N0/SAL097428,999,1004
SBH421584,SBH421584,-1,1006
SBH421584,SBH421584,1006,1011
SBH421584,SBH421584,1011,1012
SBH421584,SBH421584,1012,1011
SBH421584,SBH421584,1011,1013
SBH421584,SBH421584,1013,994
SBH421584,SBH421584_N,994,1009
SBH421584,SBH421584_N,1009,997
SBH421584,SBH421584_N,997,991
SBH421584,SBH421584_N,991,997
SBH421584,SBH421584_N,997,998
SBH421584,SBH421584_N/C,998,1000
SBH421584,SBH421584_N/C,1000,999
SBH421584,SBH421584_N/C,999,1034
SBH421584,SBH421584_N/C,1034,999
SBH421584,SBH421584_N0/SAL097136,999,1004
SBH421584,SBH421584_N0/SAL097136,1004,1003
SBH421584,SBH421584_N0/SAL097136,1003,999
SBH421584,SBH421584_N0/SAL097136,999,1035
SBH421584,SBH421584_N0/SAL097136,1035,1030
SBH421584,SBH421584_N0/SAL097136,1030,1035
SBH421584,SBH421584_N0/SAL097136,1035,999
SBH421585,SBH421585,-1,1006
SBH421585,SBH421585,1006,1011
SBH421585,SBH421585,1011,1012
SBH421585,SBH421585,1012,1011
SBH421585,SBH421585,1011,1013
SBH421585,SBH421585,1013,994
SBH421585,SBH421585_N,994,1009
SBH421585,SBH421585_N,1009,997
SBH421585,SBH421585_N,997,1028
SBH421585,SBH421585_N,1028,997
SBH421585,SBH421585_N,997,991
SBH421585,SBH421585_N,991,997
SBH421585,SBH421585_N,997,1028
SBH421585,SBH421585_N,1028,997
SBH421585,SBH421585_N,997,998
SBH421585,SBH421585_N/C,998,1000
SBH421585,SBH421585_N/C,1000,999
SBH421585,SBH421585_N/C,999,1034
SBH421585,SBH421585_N/C,1034,999
SBH421585,SBH421585_N0/SAL097190,999,1004
SBH421585,SBH421585_N0/SAL097190,1004,1003
SBH421585,SBH421585_N0/SAL097190,1003,999
SBH421585,SBH421585_N0/SAL097190,999,1035
SBH421585,SBH421585_N0/SAL097190,1035,1030
SBH421585,SBH421585_N0/SAL097190,1030,1035
SBH421585,SBH421585_N0/SAL097190,1035,999
SBH421586,SBH421586,-1,1008
SBH421586,SBH421586,1008,1021
SBH421586,SBH421586,1021,1022
SBH421586,SBH421586,1022,1021
SBH421586,SBH421586,1021,1023
SBH421586,SBH421586,1023,996
SBH421586,SBH421586_N,996,1019
SBH421586,SBH421586_N,1019,997
SBH421586,SBH421586_N,997,993
SBH421586,SBH421586_N,993,997
SBH421586,SBH421586_N,997,998
SBH421586,SBH421586_N/C,998,1000
SBH421586,SBH421586_N/C,1000,999
SBH421586,SBH421586_N/C,999,1034
SBH421586,SBH421586_N/C,1034,999
SBH421586,SBH421586_N0/SAL097130,999,1004
SBH421586,SBH421586_N0/SAL097130,1004,1003
SBH421586,SBH421586_N0/SAL097130,1003,999
SBH421586,SBH421586_N0/SAL097130,999,1035
SBH421586,SBH421586_N0/SAL097130,1035,1030
SBH421586,SBH421586_N0/SAL097130,1030,1035
SBH421586,SBH421586_N0/SAL097130,1035,1030
SBH421586,SBH421586_N0/SAL097130,1030,999
SBH421587,SBH421587,-1,1008
SBH421587,SBH421587,1008,1021
SBH421587,SBH421587,1021,1022
SBH421587,SBH421587,1022,1021
SBH421587,SBH421587,1021,1023
SBH421587,SBH421587,1023,996
SBH421587,SBH421587_N,996,1019
SBH421587,SBH421587_N,1019,997
SBH421587,SBH421587_N,997,993
SBH421587,SBH421587_N,993,997
SBH421587,SBH421587_N,997,1028
SBH421587,SBH421587_N,1028,997
SBH421587,SBH421587_N,997,998
SBH421587,SBH421587_N,998,997
SBH421587,SBH421587_N,997,1019
SBH421587,SBH421587_N/C,1019,1000
SBH421587,SBH421587_N/C,1000,999
SBH421587,SBH421587_N/C,999,1034
SBH421587,SBH421587_N/C,1034,999
SBH421587,SBH421587_N0/SAL097162,999,1004
SBH421587,SBH421587_N0/SAL097162,1004,1003
SBH421587,SBH421587_N0/SAL097162,1003,999
SBH421587,SBH421587_N0/SAL097162,999,1035
SBH421587,SBH421587_N0/SAL097162,1035,1030
SBH421587,SBH421587_N0/SAL097162,1030,1035
SBH421587,SBH421587_N0/SAL097162,1035,999
SBH421588,SBH421588,-1,1008
SBH421588,SBH421588,1008,1021
SBH421588,SBH421588,1021,1022
SBH421588,SBH421588,1022,1021
SBH421588,SBH421588,1021,1023
SBH421588,SBH421588,1023,996
SBH421588,SBH421588_N,996,1019
SBH421588,SBH421588_N,1019,997
SBH421588,SBH421588_N,997,993
SBH421588,SBH421588_N,993,997
SBH421588,SBH421588_N,997,998
SBH421588,SBH421588_N,998,997
SBH421588,SBH421588_N,997,1019
SBH421588,SBH421588_N/C,1019,1000
SBH421588,SBH421588_N/C,1000,999
SBH421588,SBH421588_N/C,999,1034
SBH421588,SBH421588_N/C,1034,999
SBH421588,SBH421588_N0/SAL097447,999,1004
SBH421589,SBH421589,-1,1008
SBH421589,SBH421589,1008,1021
SBH421589,SBH421589,1021,1022
SBH421589,SBH421589,1022,1021
SBH421589,SBH421589,1021,1023
SBH421589,SBH421589,1023,996
SBH421589,SBH421589_N,996,1019
SBH421589,SBH421589_N,1019,997
SBH421589,SBH421589_N,997,991
SBH421589,SBH421589_N,991,997
SBH421589,SBH421589_N,997,1028
SBH421589,SBH421589_N,1028,997
SBH421589,SBH421589_N,997,998
SBH421589,SBH421589_N,998,997
SBH421589,SBH421589_N,997,1019
SBH421589,SBH421589_N/C,1019,1000
SBH421589,SBH421589_N/C,1000,999
SBH421589,SBH421589_N/C,999,1034
SBH421589,SBH421589_N/C,1034,999
SBH421589,SBH421589_N0/SAL097529,999,1004
SBH421589,SBH421589_N0/SAL097529,1004,999
SBH421590,SBH421590,-1,1008
SBH421590,SBH421590,1008,1021
SBH421590,SBH421590,1021,1022
SBH421590,SBH421590,1022,1021
SBH421590,SBH421590,1021,1023
SBH421590,SBH421590,1023,996
SBH421590,SBH421590_N,996,1019
SBH421590,SBH421590_N,1019,997
SBH421590,SBH421590_N,997,993
SBH421590,SBH421590_N,993,997
SBH421590,SBH421590_N,997,1028
SBH421590,SBH421590_N,1028,997
SBH421590,SBH421590_N,997,998
SBH421590,SBH421590_N,998,997
SBH421590,SBH421590_N,997,1019
SBH421590,SBH421590_N/C,1019,1000
SBH421590,SBH421590_N/C,1000,999
SBH421590,SBH421590_N/C,999,1034
SBH421590,SBH421590_N/C,1034,999
SBH421590,SBH421590_N0/SAL097523,999,1004
SBH421590,SBH421590_N0/SAL097523,1004,999
SBH421591,SBH421591,-1,1008
SBH421591,SBH421591,1008,1021
SBH421591,SBH421591,1021,1022
SBH421591,SBH421591,1022,1021
SBH421591,SBH421591,1021,1023
SBH421591,SBH421591,1023,996
SBH421591,SBH421591_N,996,1019
SBH421591,SBH421591_N,1019,997
SBH421591,SBH421591_N,997,991
SBH421591,SBH421591_N,991,997
SBH421591,SBH421591_N,997,1028
SBH421591,SBH421591_N,1028,997
SBH421591,SBH421591_N,997,998
SBH421591,SBH421591_N/C,998,1000
SBH421591,SBH421591_N/C,1000,999
SBH421591,SBH421591_N/C,999,1034
SBH421591,SBH421591_N/C,1034,999
SBH421591,SBH421591_N0/SAL097149,999,1004
SBH421591,SBH421591_N0/SAL097149,1004,1003
SBH421591,SBH421591_N0/SAL097149,1003,999
SBH421591,SBH421591_N0/SAL097149,999,1035
SBH421591,SBH421591_N0/SAL097149,1035,1030
SBH421591,SBH421591_N0/SAL097149,1030,1035
SBH421591,SBH421591_N0/SAL097149,1035,999
SBH421592,SBH421592,-1,1008
SBH421592,SBH421592,1008,1021
SBH421592,SBH421592,1021,1022
SBH421592,SBH421592,1022,1021
SBH421592,SBH421592,1021,1023
SBH421592,SBH421592,1023,996
SBH421592,SBH421592_N,996,1019
SBH421592,SBH421592_N,1019,997
SBH421592,SBH421592_N,997,991
SBH421592,SBH421592_N,991,997
SBH421592,SBH421592_N,997,1028
SBH421592,SBH421592_N,1028,997
SBH421592,SBH421592_N,997,998
SBH421592,SBH421592_N/C,998,1000
SBH421592,SBH421592_N/C,1000,999
SBH421592,SBH421592_N/C,999,1034
SBH421592,SBH421592_N/C,1034,999
SBH421592,SBH421592_N0/SAL097191,999,1004
SBH421592,SBH421592_N0/SAL097191,1004,1003
SBH421592,SBH421592_N0/SAL097191,1003,999
SBH421592,SBH421592_N0/SAL097191,999,1035
SBH421592,SBH421592_N0/SAL097191,1035,1030
SBH421592,SBH421592_N0/SAL097191,1030,1035
SBH421592,SBH421592_N0/SAL097191,1035,999
SBH421593,SBH421593,-1,1007
SBH421593,SBH421593,1007,1016
SBH421593,SBH421593,1016,1017
SBH421593,SBH421593,1017,1016
SBH421593,SBH421593,1016,1018
SBH421593,SBH421593,1018,995
SBH421593,SBH421593_N,995,1014
SBH421593,SBH421593_N,1014,997
SBH421593,SBH421593_N,997,989
SBH421593,SBH421593_N,989,997
SBH421593,SBH421593_N,997,998
SBH421593,SBH421593_N/C,998,1000
SBH421593,SBH421593_N/C,1000,999
SBH421593,SBH421593_N/C,999,1034
SBH421593,SBH421593_N/C,1034,999
SBH421593,SBH421593_N0/SAL097139,999,1004
SBH421593,SBH421593_N0/SAL097139,1004,1003
SBH421593,SBH421593_N0/SAL097139,1003,999
SBH421593,SBH421593_N0/SAL097139,999,1035
SBH421593,SBH421593_N0/SAL097139,1035,1030
SBH421593,SBH421593_N0/SAL097139,1030,1035
SBH421593,SBH421593_N0/SAL097139,1035,999
SBH421594,SBH421594,-1,1007
SBH421594,SBH421594,1007,1016
SBH421594,SBH421594,1016,1017
SBH421594,SBH421594,1017,1016
SBH421594,SBH421594,1016,1018
SBH421594,SBH421594,1018,995
SBH421594,SBH421594_N,995,1014
SBH421594,SBH421594_N,1014,997
SBH421594,SBH421594_N,997,992
SBH421594,SBH421594_N,992,997
SBH421594,SBH421594_N,997,998
SBH421594,SBH421594_N/C,998,1000
SBH421594,SBH421594_N/C,1000,999
SBH421594,SBH421594_N/C,999,1034
SBH421594,SBH421594_N/C,1034,999
SBH421594,SBH421594_N0/SAL097435,999,1004
SBH421595,SBH421595,-1,1008
SBH421595,SBH421595,1008,1021
SBH421595,SBH421595,1021,1022
SBH421595,SBH421595,1022,1021
SBH421595,SBH421595,1021,1023
SBH421595,SBH421595,1023,996
SBH421595,SBH421595_N,996,1019
SBH421595,SBH421595_N,1019,997
SBH421595,SBH421595_N,997,992
SBH421595,SBH421595_N,992,997
SBH421595,SBH421595_N,997,998
SBH421595,SBH421595_N/C,998,1000
SBH421595,SBH421595_N/C,1000,999
SBH421595,SBH421595_N/C,999,1034
SBH421595,SBH421595_N/C,1034,999
SBH421595,SBH421595_N0/SAL097132,999,1004
SBH421595,SBH421595_N0/SAL097132,1004,1003
SBH421595,SBH421595_N0/SAL097132,1003,999
SBH421595,SBH421595_N0/SAL097132,999,1035
SBH421595,SBH421595_N0/SAL097132,1035,1030
SBH421595,SBH421595_N0/SAL097132,1030,1035
SBH421595,SBH421595_N0/SAL097132,1035,999
SBH421596,SBH421596,-1,1008
SBH421596,SBH421596,1008,1021
SBH421596,SBH421596,1021,1022
SBH421596,SBH421596,1022,1021
SBH421596,SBH421596,1021,1023
SBH421596,SBH421596,1023,996
SBH421596,SBH421596_N,996,1019
SBH421596,SBH421596_N,1019,997
SBH421596,SBH421596_N,997,991
SBH421596,SBH421596_N,991,997
SBH421596,SBH421596_N,997,1028
SBH421596,SBH421596_N,1028,997
SBH421596,SBH421596_N,997,998
SBH421596,SBH421596_N,998,997
SBH421596,SBH421596_N,997,1009
SBH421596,SBH421596_N/C,1009,1000
SBH421596,SBH421596_N/C,1000,999
SBH421596,SBH421596_N/C,999,1034
SBH421596,SBH421596_N/C,1034,999
SBH421596,SBH421596_N0/SAL097538,999,1004
SBH421596,SBH421596_N0/SAL097538,1004,999
SBH421597,SBH421597,-1,1007
SBH421597,SBH421597,1007,1016
SBH421597,SBH421597,1016,1017
SBH421597,SBH421597,1017,1016
SBH421597,SBH421597,1016,1018
SBH421597,SBH421597,1018,995
SBH421597,SBH421597_N,995,1014
SBH421597,SBH421597_N,1014,997
SBH421597,SBH421597_N,997,992
SBH421597,SBH421597_N,992,997
SBH421597,SBH421597_N,997,1028
SBH421597,SBH421597_N,1028,997
SBH421597,SBH421597_N,997,998
SBH421597,SBH421597_N/C,998,1000
SBH421597,SBH421597_N/C,1000,999
SBH421597,SBH421597_N/C,999,1034
SBH421597,SBH421597_N/C,1034,999
SBH421597,SBH421597_N0/SAL097160,999,1004
SBH421597,SBH421597_N0/SAL097160,1004,1003
SBH421597,SBH421597_N0/SAL097160,1003,999
SBH421597,SBH421597_N0/SAL097160,999,1035
SBH421597,SBH421597_N0/SAL097160,1035,1030
SBH421597,SBH421597_N0/SAL097160,1030,1035
SBH421597,SBH421597_N0/SAL097160,1035,999
SBH421598,SBH421598,-1,1007
SBH421598,SBH421598,1007,1016
SBH421598,SBH421598,1016,1017
SBH421598,SBH421598,1017,1016
SBH421598,SBH421598,1016,1018
SBH421598,SBH421598,1018,995
SBH421598,SBH421598_N,995,1014
SBH421598,SBH421598_N,1014,997
SBH421598,SBH421598_N,997,993
SBH421598,SBH421598_N,993,997
SBH421598,SBH421598_N,997,1028
SBH421598,SBH421598_N,1028,997
SBH421598,SBH421598_N,997,998
SBH421598,SBH421598_N/C,998,1000
SBH421598,SBH421598_N/C,1000,999
SBH421598,SBH421598_N/C,999,1034
SBH421598,SBH421598_N/C,1034,999
SBH421598,SBH421598_N0/SAL097453,999,1004
SBH421599,SBH421599,-1,1006
SBH421599,SBH421599,1006,1011
SBH421599,SBH421599,1011,1012
SBH421599,SBH421599,1012,1011
SBH421599,SBH421599,1011,1013
SBH421599,SBH421599,1013,994
SBH421599,SBH421599_N,994,1009
SBH421599,SBH421599_N,1009,997
SBH421599,SBH421599_N,997,992
SBH421599,SBH421599_N,992,997
SBH421599,SBH421599_N,997,1028
SBH421599,SBH421599_N,1028,997
SBH421599,SBH421599_N,997,998
SBH421599,SBH421599_N/C,998,1000
SBH421599,SBH421599_N/C,1000,999
SBH421599,SBH421599_N/C,999,1034
SBH421599,SBH421599_N/C,1034,999
SBH421599,SBH421599_N0/SAL097153,999,1004
SBH421599,SBH421599_N0/SAL097153,1004,1003
SBH421599,SBH421599_N0/SAL097153,1003,999
SBH421599,SBH421599_N0/SAL097153,999,1035
SBH421599,SBH421599_N0/SAL097153,1035,1030
SBH421599,SBH421599_N0/SAL097153,1030,1035
SBH421599,SBH421599_N0/SAL097153,1035,999
SBH421600,SBH421600,-1,1008
SBH421600,SBH421600,1008,1021
SBH421600,SBH421600,1021,1022
SBH421600,SBH421600,1022,1021
SBH421600,SBH421600,1021,1023
SBH421600,SBH421600,1023,996
SBH421600,SBH421600_N,996,1019
SBH421600,SBH421600_N,1019,997
SBH421600,SBH421600_N,997,993
SBH421600,SBH421600_N,993,997
SBH421600,SBH421600_N,997,1028
SBH421600,SBH421600_N,1028,997
SBH421600,SBH421600_N,997,998
SBH421600,SBH421600_N/C,998,1000
SBH421600,SBH421600_N/C,1000,999
SBH421600,SBH421600_N/C,999,1034
SBH421600,SBH421600_N/C,1034,999
SBH421600,SBH421600_N0/SAL097433,999,1004
SBH421601,SBH421601,-1,1007
SBH421601,SBH421601,1007,1016
SBH421601,SBH421601,1016,1017
SBH421601,SBH421601,1017,1016
SBH421601,SBH421601,1016,1018
SBH421601,SBH421601,1018,995
SBH421601,SBH421601_N,995,1014
SBH421601,SBH421601_N,1014,997
SBH421601,SBH421601_N,997,989
SBH421601,SBH421601_N,989,997
SBH421601,SBH421601_N,997,1028
SBH421601,SBH421601_N,1028,997
SBH421601,SBH421601_N,997,998
SBH421601,SBH421601_N/C,998,1000
SBH421601,SBH421601_N/C,1000,999
SBH421601,SBH421601_N/C,999,1034
SBH421601,SBH421601_N/C,1034,999
SBH421601,SBH421601_N0/SAL097494,999,1004
SBH421602,SBH421602,-1,1007
SBH421602,SBH421602,1007,1016
SBH421602,SBH421602,1016,1017
SBH421602,SBH421602,1017,1016
SBH421602,SBH421602,1016,1018
SBH421602,SBH421602,1018,995
SBH421602,SBH421602_N,995,1014
SBH421602,SBH421602_N,1014,997
SBH421602,SBH421602_N,997,993
SBH421602,SBH421602_N,993,997
SBH421602,SBH421602_N,997,1028
SBH421602,SBH421602_N,1028,997
SBH421602,SBH421602_N,997,998
SBH421602,SBH421602_N,998,997
SBH421602,SBH421602_N,997,1014
SBH421602,SBH421602_N/C,1014,1000
SBH421602,SBH421602_N/C,1000,999
SBH421602,SBH421602_N/C,999,1034
SBH421602,SBH421602_N/C,1034,999
SBH421602,SBH421602_N0/SAL097507,999,1004
SBH421602,SBH421602_N0/SAL097507,1004,999
SBH421603,SBH421603,-1,1006
SBH421603,SBH421603,1006,1011
SBH421603,SBH421603,1011,1012
SBH421603,SBH421603,1012,1011
SBH421603,SBH421603,1011,1013
SBH421603,SBH421603,1013,994
SBH421603,SBH421603_N,994,1009
SBH421603,SBH421603_N,1009,997
SBH421603,SBH421603_N,997,990
SBH421603,SBH421603_N,990,997
SBH421603,SBH421603_N,997,1028
SBH421603,SBH421603_N,1028,997
SBH421603,SBH421603_N,997,998
SBH421603,SBH421603_N/C,998,1000
SBH421603,SBH421603_N/C,1000,999
SBH421603,SBH421603_N/C,999,1034
SBH421603,SBH421603_N/C,1034,999
SBH421603,SBH421603_N0/SAL097493,999,1004
SBH421604,SBH421604,-1,1008
SBH421604,SBH421604,1008,1021
SBH421604,SBH421604,1021,1022
SBH421604,SBH421604,1022,1021
SBH421604,SBH421604,1021,1023
SBH421604,SBH421604,1023,996
SBH421604,SBH421604_N,996,1019
SBH421604,SBH421604_N,1019,997
SBH421604,SBH421604_N,997,989
SBH421604,SBH421604_N,989,997
SBH421604,SBH421604_N,997,1028
SBH421604,SBH421604_N,1028,997
SBH421604,SBH421604_N,997,998
SBH421604,SBH421604_N,998,997
SBH421604,SBH421604_N,997,1009
SBH421604,SBH421604_N/C,1009,1000
SBH421604,SBH421604_N/C,1000,999
SBH421604,SBH421604_N/C,999,1034
SBH421604,SBH421604_N/C,1034,999
SBH421604,SBH421604_N0/SAL097557,999,1004
SBH421605,SBH421605,-1,1007
SBH421605,SBH421605,1007,1016
SBH421605,SBH421605,1016,1017
SBH421605,SBH421605,1017,1016
SBH421605,SBH421605,1016,1018
SBH421605,SBH421605,1018,995
SBH421605,SBH421605_N,995,1014
SBH421605,SBH421605_N,1014,997
SBH421605,SBH421605_N,997,990
SBH421605,SBH421605_N,990,997
SBH421605,SBH421605_N,997,1028
SBH421605,SBH421605_N,1028,997
SBH421605,SBH421605_N,997,998
SBH421605,SBH421605_N,998,997
SBH421605,SBH421605_N,997,1009
SBH421605,SBH421605_N/C,1009,1000
SBH421605,SBH421605_N/C,1000,999
SBH421605,SBH421605_N/C,999,1034
SBH421605,SBH421605_N/C,1034,999
SBH421605,SBH421605_N0/SAL097527,999,1004
SBH421605,SBH421605_N0/SAL097527,1004,999
SBH421606,SBH421606,-1,1006
SBH421606,SBH421606,1006,1011
SBH421606,SBH421606,1011,1012
SBH421606,SBH421606,1012,1011
SBH421606,SBH421606,1011,1013
SBH421606,SBH421606,1013,994
SBH421606,SBH421606_N,994,1009
SBH421606,SBH421606_N,1009,997
SBH421606,SBH421606_N,997,993
SBH421606,SBH421606_N,993,997
SBH421606,SBH421606_N,997,1028
SBH421606,SBH421606_N,1028,997
SBH421606,SBH421606_N,997,998
SBH421606,SBH421606_N,998,997
SBH421606,SBH421606_N,997,1019
SBH421606,SBH421606_N/C,1019,1000
SBH421606,SBH421606_N/C,1000,999
SBH421606,SBH421606_N/C,999,1034
SBH421606,SBH421606_N/C,1034,999
SBH421606,SBH421606_N0/SAL097537,999,1004
SBH421606,SBH421606_N0/SAL097537,1004,999
SBH421607,SBH421607,-1,1006
SBH421607,SBH421607,1006,1011
SBH421607,SBH421607,1011,1012
SBH421607,SBH421607,1012,1011
SBH421607,SBH421607,1011,1013
SBH421607,SBH421607,1013,994
SBH421607,SBH421607_N,994,1009
SBH421607,SBH421607_N,1009,997
SBH421607,SBH421607_N,997,991
SBH421607,SBH421607_N,991,997
SBH421607,SBH421607_N,997,1028
SBH421607,SBH421607_N,1028,997
SBH421607,SBH421607_N,997,998
SBH421607,SBH421607_N,998,997
SBH421607,SBH421607_N,997,1014
SBH421607,SBH421607_N/C,1014,1000
SBH421607,SBH421607_N/C,1000,999
SBH421607,SBH421607_N/C,999,1034
SBH421607,SBH421607_N/C,1034,999
SBH421607,SBH421607_N0/SAL097542,999,1004
SBH421607,SBH421607_N0/SAL097542,1004,999
SBH421608,SBH421608,-1,1008
